Etape	m2	p2
1	0	0
2	0	0
3	0	0
4	1	0
5	1	0
6	1	0
7	2	0
8	2	0
9	2	0
10	2	0
11	2	0
12	2	0
13	3	0
14	3	0
15	4	0
16	4	0
17	4	0
18	5	0
19	5	0
20	6	0
21	6	0
22	6	0
23	6	0
24	7	0
25	7	0
26	8	0
27	8	0
28	9	0
29	10	0
30	10	0
31	11	0
32	11	0
33	12	0
34	13	0
35	14	0
36	15	0
37	15	0
38	15	0
39	15	0
40	15	0
41	16	0
42	16	0
43	17	0
44	17	0
45	17	0
46	17	0
47	17	0
48	18	0
49	18	0
50	19	0
51	19	0
52	19	0
53	19	0
54	20	0
55	20	0
56	21	0
57	22	0
58	22	0
59	23	0
60	23	0
61	24	0
62	24	0
63	24	0
64	25	0
65	26	0
66	27	0
67	28	0
68	28	0
69	29	0
70	30	0
71	30	0
72	31	0
73	32	0
74	32	0
75	33	0
76	34	0
77	35	0
78	35	0
79	36	0
80	36	0
81	36	0
82	37	0
83	37	0
84	38	0
85	39	0
86	40	0
87	41	0
88	41	0
89	42	0
90	43	0
91	44	0
92	45	0
93	45	0
94	45	0
95	45	0
96	46	0
97	46	0
98	46	0
99	47	0
100	48	0
101	49	0
102	49	0
103	50	0
104	50	0
105	50	0
106	51	0
107	51	0
108	51	0
109	52	0
110	53	0
111	54	0
112	55	0
113	55	0
114	56	0
115	57	0
116	58	0
117	59	0
118	59	0
119	60	0
120	61	0
121	62	0
122	63	0
123	63	0
124	64	0
125	65	0
126	65	0
127	66	0
128	66	0
129	67	0
130	68	0
131	69	0
132	70	0
133	71	0
134	71	0
135	72	0
136	72	0
137	73	0
138	74	0
139	75	0
140	76	0
141	76	0
142	76	0
143	77	0
144	77	0
145	77	0
146	77	0
147	77	0
148	78	0
149	79	0
150	80	0
151	80	0
152	80	0
153	81	0
154	81	0
155	82	0
156	83	0
157	84	0
158	84	0
159	85	0
160	86	0
161	86	0
162	87	0
163	88	0
164	89	0
165	89	0
166	89	0
167	89	0
168	89	0
169	89	0
170	89	0
171	90	0
172	91	0
173	92	0
174	92	0
175	92	0
176	92	0
177	93	0
178	94	0
179	94	0
180	95	0
181	95	0
182	96	0
183	97	0
184	97	0
185	98	0
186	99	0
187	99	0
188	100	0
189	100	0
190	101	0
191	101	0
192	102	0
193	103	0
194	103	0
195	103	0
196	104	0
197	105	0
198	106	0
199	107	0
200	108	0
201	109	0
202	110	0
203	111	0
204	112	0
205	113	0
206	114	0
207	114	0
208	115	0
209	115	0
210	115	0
211	116	0
212	117	0
213	118	0
214	119	0
215	120	0
216	121	0
217	121	0
218	122	0
219	122	0
220	122	0
221	123	0
222	123	0
223	123	0
224	124	0
225	125	0
226	126	0
227	126	0
228	127	0
229	127	0
230	128	0
231	129	0
232	130	0
233	131	0
234	132	0
235	132	0
236	132	0
237	133	0
238	133	0
239	134	0
240	135	0
241	136	0
242	136	0
243	137	0
244	137	0
245	137	0
246	138	0
247	139	0
