Etape;p2;m2
1;0;0
2;0;0
3;0;0
4;0;0
5;0;0
6;0;0
7;0;0
8;0;0
9;0;0
10;0;0
11;0;0
12;0;0
13;0;0
14;0;1
15;0;1
16;0;1
17;0;2
18;0;2
19;0;2
20;0;2
21;0;2
22;0;2
23;0;3
24;0;4
25;0;4
26;0;4
27;0;4
28;0;4
29;0;4
30;0;5
31;0;6
32;0;6
33;0;6
34;0;6
35;0;6
36;0;6
37;0;7
38;0;7
39;0;8
40;0;8
41;0;8
42;0;9
43;0;9
44;0;9
45;0;9
46;0;9
47;0;10
48;0;10
49;0;11
50;0;11
51;0;11
52;0;11
53;0;11
54;0;11
55;0;12
56;0;12
57;0;12
58;0;12
59;0;12
60;0;12
61;0;12
62;0;12
63;0;12
64;0;12
65;0;13
66;0;14
67;0;14
68;0;14
69;0;14
70;0;14
71;0;15
72;0;15
73;0;16
74;0;16
75;0;16
76;0;16
77;0;17
78;0;17
79;0;18
80;0;18
81;0;18
82;0;18
83;0;21
84;0;22
85;0;23
86;0;24
87;0;25
88;0;25
89;0;25
90;0;25
91;0;25
92;0;25
93;0;25
94;0;25
95;0;26
96;0;26
97;0;27
98;0;27
99;0;27
100;0;27
101;0;27
102;0;27
103;0;27
104;0;27
105;0;28
106;0;28
107;0;28
108;0;28
109;0;30
110;0;30
111;0;30
112;0;32
113;0;32
114;0;32
115;0;32
116;0;32
117;0;32
118;0;32
119;0;33
120;0;33
121;0;33
122;0;33
123;0;33
124;0;34
125;0;34
126;0;35
127;0;35
128;0;35
129;0;35
130;0;36
131;0;36
132;0;37
133;0;37
134;0;37
135;0;38
136;0;38
137;0;38
138;0;38
139;0;39
140;0;40
141;0;41
142;0;41
143;0;41
144;0;41
145;0;42
146;0;42
147;0;43
148;0;43
149;0;43
150;0;43
151;0;44
152;0;44
153;0;44
154;0;44
155;0;45
156;0;45
157;0;45
158;0;45
159;0;45
160;0;46
161;0;46
162;0;47
163;0;47
164;0;47
165;0;47
166;0;47
167;0;47
168;0;48
169;0;48
170;0;48
171;0;48
172;0;48
173;0;48
174;0;48
175;0;48
176;0;48
177;0;48
178;0;48
179;0;50
180;0;50
181;0;50
182;0;50
183;0;50
184;0;51
185;0;51
186;0;51
187;0;51
188;0;51
189;0;51
190;0;52
191;0;52
192;0;52
193;0;52
194;0;52
195;0;52
196;0;52
197;0;52
198;0;52
199;0;53
200;0;53
201;0;54
202;0;54
203;0;57
204;0;58
205;0;58
206;0;59
207;0;59
208;0;61
209;0;61
210;0;61
211;0;61
212;0;61
213;0;61
214;0;61
215;0;61
216;0;62
217;0;62
218;0;62
219;0;62
220;0;62
221;0;63
222;0;63
223;0;63
224;0;64
225;0;64
226;0;64
227;0;64
228;0;64
229;0;64
230;0;64
231;0;64
232;0;64
233;0;64
234;0;66
235;0;66
236;0;67
237;0;67
238;0;67
239;0;67
240;0;68
241;0;68
242;0;68
243;0;68
244;0;69
245;0;69
246;0;70
247;0;70
